ATLH302	...אל הגעש היושב בהר אצידופילוס...
ATLH303	...קבל קורבן זה שאנו מקריבים לפניך...
ATLH304	...בדמות בשר עם כמות גדולה של סיבים תזונתיים ותאיות בריאות...
ATLH305	...נטול שומנים וחומצות שומן רווי...
ATLH306	...שיזין אותך ויעורר את רחמיך על כפרנו הצנוע...
ATLH307	...ולא יסעיר וגם לא יתסיס את לועך הרגיז...
ATLH308	בסדר בחורים... זרקו אותו פנימה!
ATLH309	הייתם קהל נהדר! תודה לכם ולילה טוב!
ATLH310	אוויל שכמוך! נתת גבינה לאל געשי רגיש ללקטוז!
ATLH311	אתה יודע מה זה אומר? הבאת לתחילתה של שרשרת שלשולים שמימית!
ATLH312	נוסו על נפשותיכם!
ATGT313	וואו! זה היה אפילו יותר מרהיב משחשבתי!
ATLH314	היי!
ATLH315	עוף מכאן!
ATLH316	אתה תהרוס את הטקס!
ATGT317	אתם מאכילים את הר הגעש בבובות עשויות מירקות?
ATLH318	כן בהחלט.
ATLH319	שרמן אינו צמחוני קפדני...
ATLH320	...אבל מאכלים עתירי שומן עשויים לגרום לו לבעיות עיכול קשות.
ATGT321	יום נאה להקרבת קורבנות.
ATLH322	רק אחד ליום. שרמן רגיש לתזונת יתר.
ATNZ323	קורבן
ATNZ324	לוע הר געש רותח
ATGT325	מבעבע.
ATGT326	אני אאבד יד בזה!
ATGT327	הללו, הללו את אל הגעש!
ATGT328	זה לא יהיה קורבן הולם.
ATNZ329	לוע הר געש רותח
ATNZ330	ראש לימון
ATGT331	זה מנהיג הקניבלים.
ATGT332	אני לא רוצה לזרוק אותו להר הגעש.
AGSO301	שבו בשקט או שאהמם אתכם!
AGSO302	שלום לכם, שכנים! יש לכם קצת יהלומים?
AGSO303	אז, איפה היהלום הענק שאמור להיות אצלכם?
AGSO304	אחר הצהריים טובים. אני חוקר היהלומים החדש של אי הגולגולת...
AGSO305	יש לי כל כך הרבה כסף שזה כמעט מביך.
AGSO306	אופס! נכנסתי כנראה למערה הלא נכונה. נתראה!
AGCR307	גררר...
AGGT308	ארר... אני אהמם אתכם בכמה מנומס והגיוני אני יכול להיות.
AGKA309	נראה שיש לנו אורח לא רצוי, קראף. טפל בו.
AGGT310	לעזאזל. תן לי לנסות את זה שוב.
AGGT311	לא תאמינו אבל אזל לי המלאי!
AGKA312	לך מפה.
AGGT313	לעזאזל. תן לי לנסות את זה שוב.
AGCR314	גררר...
AGKA315	תיכנס בו, קראף.
AGGT316	לעזאזל. תן לי לנסות את זה שוב.
AGGT317	אני צריך לראות את כל היהלומים שיש לכם. עד האחרון שבהם.
AGGT318	קדימה, אנשים! מהר מהר! אין לי את כל היום!
AGKA319	אני לא אוהב את האיש הזה. תהרוג אותו.
AGGT320	לעזאזל. תן לי לנסות את זה שוב.
AGKA321	שלום שלום! בוא נדבר, מר אההה...?
AGSO322	כפיסדבק. ברנשצבע כפיסדבק.
AGSO323	לה צ'אק. הפיראט הזומבי לה צ'אק.
AGSO324	מרקטוב. וונטון מרקטוב.
AGSO325	לוגי. קפטן לוגי.
AGSO326	ואנגוכדרפסנסון. יתרו ואנגוכדרפסנסון.
AGSO327	טיטו. פשוט טיטו.
AGKA328	בסדר גמור, מר כפיסדבק...
AGGT329	היי! איך אתה יודע את השם...
AGKA330	זה התפקיד שלי לדעת מי נכנס ומי יוצא מאי הגולגולת.
AGKA331	אני המלך אנדריי, וזה העמית שלי קראף.
AGKA332	אתה מחפש משהו מסוים?
AGGT333	את היהלום של משפחת מרקטוב.
AGGT334	לה צ'אק גנב אותו, אתה קנית אותו, אני רוצה אותו. עכשיו.
AGCR335	גררר...
AGGT336	בבקשה.
AGGT337	אדוני.
AGKA338	אבל יש לנו כל כך הרבה סחורה איכותית כאן במועדון הפיראטים!
AGCR339	המחירים שלנו צונחים מדי יום.
AGKA340	כל מה שפיראט -- או פיראט מתלמד -- יכול רק לרצות נמצא פה...
AGKA341	...עבור המחיר הנכון.
AGKA342	חה חה חה חה חה חה חה חה חה חה חה חה חה חה חה!
AGSO343	אני לא מבין.
AGSO344	אתה מוכן לא לצחוק ככה שוב?
AGSO345	אתה כזה אדם מוזר.
AGSO346	אתה מתחמק מנושא היהלום.
AGKA347	יהלום מרקטוב הוא מוטיב מרכזי באוסף שלי...
AGKA348	...האנרגיה הפנטסטית שזורמת דרכו היא המפתח לכל הכוח שלי!
AGGT349	אז אני יכול לקבל אותו?
AGKA350	כמובן שאתה לא יכול לקבל אותו... אלא אם תביא לי משהו בתמורה.
AGSO351	אתה מצפה ממני לדבר?
AGSO352	התוכנית המרושעת שלך לעולם לא תעבוד, אנדריי!
AGSO353	אתה מטורף!
AGSO354	היהלום שייך למוזיאון!
AGSO355	אולי נוכל לעשות עסק.
AGSO356	אולי רק אסתובב פה קצת.
AGGT357	אולי רק אסתובב פה קצת.
AGKA358	לא, מר כפיסדבק! אני מצפה ממך לקנות!
AGKA359	אבל היא ללא רבב!
AGKA360	סדרה של מטענים ממוקמים בקפידה שמונחים ברחבי אי הדמים...
AGKA361	...כולם נשלטים על ידי רשת לוויינים במסלול גיאוסינכרוני...
AGKA362	...ורק לאדם אחד יש גישה למפסק הראשי.
AGCR363	אמ, בוס?
AGKA364	אני האיש, כפיסדבק, ו...
AGCR365	בוס?
AGKA366	כן, מר קראף?
AGCR367	אגל תגדבגר עגל הגתוגוכניגית הגזדוגוניגית.
AGKA368	אה, כן. כמובן.
AGKA369	אני מטורף? אני?
AGKA370	חה חה חה חה חה חה חה חה חה חה חה חה חה חה חה!
AGKA371	זה טירוף לשבת במערה בפסגת אי נטוש...
AGKA372	...לצבור כמויות עצומות של זהב ותכשיטים וחיות מפוחלצות...
AGKA373	לאגור שלל מכל רחבי הקאריביים ולהעביר אליך את כל החסכונות?
AGKA374	זה טירוף? או גאונות?!?
AGGT375	נקודה טובה. אני חוזר בי.
AGKA376	אני לא מטורף -- המחירים שלי כן!
AGKA377	כך גם ציורים פוסט אימפרסיוניסטיים, מר כפיסדבק.
AGKA378	כך גם ציורים פוסט אימפרסיוניסטיים.
